Asset_ID,Asset_Type,Status,Department,Assigned_To,Acquisition_Date,Asset_Age,Warranty_Expiry_Date,Days_to_Warranty_Expiry,Warranty_Status,License_Expiry_Date,Maintenance_Cost,Repair_Count,Repair_Intensity,Is_High_Cost,Vendor_Name,Location,Compliance_Status,OS_Version,P_High_Cost,Age_Norm,Repair_Norm,Warranty_Exp,Risk_Score,Risk_Level
ASSET_0011,Desktop,In Use,Finance,User_345,2021-09-04,4.6,2024-09-04,-594,Expired,2023-03-04,800.91,2,0.43,0,Lenovo,Other,Non-Compliant,Windows 11,0.67823374,0.7301587301587301,0.014333333333333333,1,0.62,Medium
ASSET_0012,Tablet,Retired,Sales,,2021-01-22,5.2,2023-07-22,-1004,Expired,2022-11-22,2069.33,8,1.54,1,Apple,Taipei,Non-Compliant,Android 14,0.83830637,0.8253968253968255,0.051333333333333335,1,0.71,High
ASSET_0013,Desktop,In Use,Operations,User_187,2022-10-23,3.5,2025-10-23,-180,Expired,2024-06-23,1123.65,3,0.86,1,Lenovo,Taichung,Non-Compliant,Windows 10,0.5209,0.5555555555555556,0.028666666666666667,1,0.53,Medium
ASSET_0014,Monitor,Stock,HR,,2025-07-15,0.8,2029-07-15,1181,Active,,28.26,1,1.25,0,HP,Other,Compliant,Not Applicable,0.06491689,0.126984126984127,0.041666666666666664,0,0.06,Low
ASSET_0015,Tablet,In Use,Sales,User_338,2021-10-05,4.5,2023-10-05,-929,Expired,2024-05-05,1151.58,6,1.33,1,Apple,Other,Non-Compliant,iPadOS 18,0.67109793,0.7142857142857143,0.044333333333333336,1,0.62,Medium
ASSET_0016,Desktop,In Use,HR,User_188,2021-07-19,4.8,2024-07-19,-641,Expired,2022-09-19,704.4,10,2.08,0,Lenovo,Hsinchu,Non-Compliant,Ubuntu 22.04,0.7976467,0.7619047619047619,0.06933333333333333,1,0.69,Medium
ASSET_0017,Desktop,In Use,Finance,User_372,2021-04-19,5.0,2024-04-19,-732,Expired,2023-01-19,1510.08,9,1.8,1,Dell,Other,Non-Compliant,Windows 10,0.90712065,0.7936507936507937,0.060000000000000005,1,0.73,High
ASSET_0018,Server,In Use,Finance,,2023-06-18,2.8,2027-06-18,423,Active,2026-04-18,1296.3,3,1.07,1,Dell,Taipei,At Risk,Ubuntu 22.04,0.89781654,0.4444444444444444,0.035666666666666666,0,0.46,Medium
ASSET_0019,Monitor,Stock,Finance,User_098,2023-04-30,3.0,2026-04-30,9,Active,,44.72,0,0.0,0,Lenovo,Other,Compliant,Not Applicable,0.17947507,0.4761904761904762,0.0,0,0.17,Low
ASSET_0020,Tablet,In Use,Sales,,2022-05-12,3.9,2024-05-12,-709,Expired,2023-12-12,529.99,2,0.51,0,Apple,Taipei,Non-Compliant,Android 14,0.23149668,0.6190476190476191,0.017,1,0.42,Medium
ASSET_0021,Server,In Use,IT,User_096,2022-04-08,4.0,2026-04-08,-13,Expired,2025-06-08,2794.25,4,1.0,1,Cisco,Cloud,Non-Compliant,Windows Server 2022,0.9600376,0.6349206349206349,0.03333333333333333,1,0.72,High
ASSET_0022,Laptop,In Use,HR,User_101,2025-03-08,1.1,2028-09-08,871,Active,,105.95,0,0.0,0,Dell,Other,Compliant,Windows 11,0.13889313,0.17460317460317462,0.0,0,0.09,Low
ASSET_0023,Laptop,Retired,HR,,2021-12-22,4.3,2024-12-22,-485,Expired,2023-05-22,343.34,3,0.7,0,Apple,Taichung,Non-Compliant,macOS 13,0.69091237,0.6825396825396826,0.02333333333333333,1,0.62,Medium
ASSET_0024,Laptop,Stock,R&D,User_231,2025-08-22,0.7,2028-08-22,854,Active,2026-11-22,79.85,0,0.0,0,Apple,Hsinchu,Compliant,macOS 14,0.15029462,0.1111111111111111,0.0,0,0.08,Low
ASSET_0025,Monitor,Stock,Finance,,2025-06-30,0.8,2028-06-30,801,Active,,41.72,1,1.25,0,Lenovo,Taipei,Compliant,Not Applicable,0.06491689,0.126984126984127,0.041666666666666664,0,0.06,Low
ASSET_0026,Laptop,In Use,HR,User_222,2021-09-04,4.6,2025-03-04,-413,Expired,2022-09-04,1992.58,5,1.09,1,Apple,Other,Non-Compliant,macOS 15,0.71165735,0.7301587301587301,0.036333333333333336,1,0.64,Medium
ASSET_0027,Server,Stock,R&D,,2020-05-26,5.9,2024-05-26,-695,Expired,2021-10-26,2712.71,7,1.19,1,Cisco,Hsinchu,Non-Compliant,Ubuntu 22.04,0.98281914,0.9365079365079366,0.03966666666666666,1,0.79,High
ASSET_0028,Laptop,In Use,R&D,User_248,2021-04-04,5.0,2024-04-04,-747,Expired,2023-03-04,7600.0,7,1.4,1,Apple,Other,Non-Compliant,macOS 14,0.91236377,0.7936507936507937,0.04666666666666666,1,0.73,High
ASSET_0029,Desktop,In Use,IT,User_100,2021-10-08,4.5,2024-10-08,-560,Expired,2023-03-08,1034.5,3,0.67,1,HP,Hsinchu,Non-Compliant,Windows 11,0.73570156,0.7142857142857143,0.022333333333333334,1,0.64,Medium
ASSET_0030,Monitor,In Use,HR,User_051,2024-03-28,2.1,2027-03-28,341,Active,,93.28,2,0.95,0,HP,Hsinchu,Compliant,Not Applicable,0.051142544,0.33333333333333337,0.03166666666666666,0,0.09,Low
ASSET_0031,Server,In Use,Operations,,2024-06-16,1.8,2028-06-16,787,Active,2026-07-16,576.98,2,1.11,0,Cisco,Hsinchu,Compliant,VMware ESXi,0.3872411,0.28571428571428575,0.037000000000000005,0,0.22,Low
ASSET_0032,Desktop,Retired,IT,,2025-02-06,1.2,2028-02-06,656,Active,2027-05-06,626.66,3,2.5,0,Apple,Taipei,Compliant,macOS 13,0.09250664,0.19047619047619047,0.08333333333333333,0,0.09,Low
ASSET_0033,Laptop,In Use,IT,User_090,2024-02-10,2.2,2028-02-10,660,Active,2026-12-10,127.96,2,0.91,0,Apple,Taichung,Compliant,macOS 15,0.14645442,0.34920634920634924,0.030333333333333334,0,0.13,Low
ASSET_0034,Desktop,In Use,Operations,User_162,2025-04-24,1.0,2028-04-24,734,Active,2026-04-24,76.43,2,2.0,0,Dell,Other,Compliant,Windows 11,0.15947393,0.15873015873015872,0.06666666666666667,0,0.11,Low
ASSET_0035,Tablet,In Use,Operations,User_199,2024-09-06,1.6,2026-09-06,138,Active,2026-07-06,138.82,0,0.0,0,Lenovo,Taichung,Compliant,Win 11,0.046487655,0.253968253968254,0.0,0,0.07,Low
ASSET_0036,Laptop,In Use,R&D,User_245,2025-11-05,0.5,2028-11-05,929,Active,2027-02-05,186.55,0,0.0,0,Lenovo,Taichung,Compliant,Windows 11,0.21924856,0.07936507936507936,0.0,0,0.1,Low
ASSET_0037,Monitor,In Use,IT,User_100,2024-02-11,2.2,2027-02-11,296,Active,,204.61,0,0.0,0,Dell,Cloud,Compliant,Not Applicable,0.12813152,0.34920634920634924,0.0,0,0.12,Low
ASSET_0038,Laptop,In Use,Operations,User_195,2023-06-11,2.9,2026-06-11,51,Active,2026-04-11,257.16,3,1.03,0,Dell,Other,At Risk,Windows 10,0.30511066,0.4603174603174603,0.034333333333333334,0,0.22,Low
ASSET_0039,Server,In Use,IT,,2023-11-14,2.4,2027-11-14,572,Active,2025-08-14,2483.21,5,2.08,1,HP,Hsinchu,Non-Compliant,Ubuntu 22.04,0.8140679,0.38095238095238093,0.06933333333333333,0,0.42,Medium
ASSET_0040,Laptop,In Use,HR,User_071,2021-11-21,4.4,2024-11-21,-516,Expired,2023-12-21,1546.01,10,2.27,1,Dell,Taipei,Non-Compliant,Windows 11,0.85372335,0.6984126984126985,0.07566666666666667,1,0.7,Medium
ASSET_0041,Monitor,In Use,Finance,User_345,2026-02-11,0.2,2029-02-11,1027,Active,,39.55,0,0.0,0,HP,Taipei,Compliant,Not Applicable,0.086875945,0.03174603174603175,0.0,0,0.04,Low
ASSET_0042,Laptop,Stock,R&D,User_275,2025-08-23,0.7,2028-08-23,855,Active,2028-03-23,148.81,0,0.0,0,Apple,Taipei,Compliant,macOS 15,0.15029462,0.1111111111111111,0.0,0,0.08,Low
ASSET_0043,Server,In Use,IT,,2024-07-03,1.8,2029-07-03,1169,Active,2026-09-03,424.93,3,1.67,0,HP,Cloud,Compliant,RHEL 9,0.5545502,0.28571428571428575,0.05566666666666666,0,0.29,Low
ASSET_0044,Desktop,In Use,Finance,User_108,2023-08-27,2.6,2026-08-27,128,Active,2025-02-27,844.24,5,1.92,0,Lenovo,Hsinchu,At Risk,Windows 11,0.28545237,0.41269841269841273,0.064,0,0.21,Low
ASSET_0045,Tablet,Stock,Finance,,2022-09-07,3.6,2024-09-07,-591,Expired,2024-08-07,290.76,3,0.83,0,Apple,Taipei,At Risk,iPadOS 18,0.1765189,0.5714285714285715,0.027666666666666666,1,0.39,Low
ASSET_0046,Laptop,In Use,R&D,User_255,2023-02-22,3.2,2027-02-22,307,Active,2024-09-22,2892.81,3,0.94,1,Apple,Hsinchu,Non-Compliant,macOS 15,0.6100861,0.507936507936508,0.03133333333333333,0,0.35,Low
ASSET_0047,Desktop,In Use,R&D,User_199,2021-09-05,4.6,2025-03-05,-412,Expired,2023-04-05,6035.54,4,0.87,1,Lenovo,Hsinchu,Non-Compliant,Windows 11,0.81130075,0.7301587301587301,0.029,1,0.68,Medium
ASSET_0048,Tablet,In Use,Sales,User_362,2024-09-23,1.6,2026-09-23,155,Active,2025-12-23,422.36,1,0.62,0,Cisco,Taipei,Compliant,Win 11,0.06093982,0.253968253968254,0.020666666666666667,0,0.08,Low
ASSET_0049,Monitor,Stock,Operations,User_178,2021-04-22,5.0,2024-10-22,-546,Expired,,389.89,3,0.6,0,Dell,Taichung,Non-Compliant,Not Applicable,0.24924862,0.7936507936507937,0.02,1,0.46,Medium
ASSET_0050,Tablet,In Use,HR,User_065,2024-02-18,2.2,2026-02-18,-62,Expired,2025-09-18,152.79,1,0.45,0,HP,Taipei,At Risk,Android 14,0.16537344,0.34920634920634924,0.015000000000000001,1,0.34,Low
ASSET_0051,Tablet,In Use,Sales,User_112,2024-12-31,1.3,2026-12-31,254,Active,2027-04-30,89.5,2,1.54,0,Apple,Other,At Risk,Android 14,0.08236027,0.20634920634920637,0.051333333333333335,0,0.08,Low
ASSET_0052,Laptop,In Use,Operations,User_215,2024-07-28,1.7,2028-01-28,647,Active,2027-06-28,31.2,0,0.0,0,Lenovo,Taipei,Compliant,Windows 11,0.11370983,0.2698412698412698,0.0,0,0.1,Low
ASSET_0053,Tablet,In Use,R&D,User_288,2025-12-16,0.3,2028-06-16,787,Active,2028-02-16,98.0,0,0.0,0,Apple,Hsinchu,Compliant,Android 14,0.119546875,0.047619047619047616,0.0,0,0.06,Low
ASSET_0054,Laptop,In Use,Finance,User_005,2023-06-02,2.9,2026-06-02,42,Active,2024-08-02,366.12,4,1.38,0,Dell,Taipei,Non-Compliant,Windows 11,0.30393943,0.4603174603174603,0.046,0,0.22,Low
ASSET_0055,Laptop,Retired,R&D,,2020-04-14,6.0,2023-04-14,-1103,Expired,,1567.4,10,1.67,1,HP,Hsinchu,Non-Compliant,Windows 11,0.91835326,0.9523809523809524,0.05566666666666666,1,0.77,High
ASSET_0056,Server,In Use,R&D,,2025-02-10,1.2,2029-02-10,1026,Active,2028-12-10,779.19,0,0.0,0,Cisco,Cloud,Compliant,RHEL 9,0.24903132,0.19047619047619047,0.0,0,0.14,Low
ASSET_0057,Laptop,In Use,HR,User_072,2024-02-05,2.2,2027-02-05,290,Active,2025-12-05,363.57,1,0.45,0,Dell,Taichung,Compliant,Windows 11,0.15079698,0.34920634920634924,0.015000000000000001,0,0.13,Low
ASSET_0058,Tablet,In Use,Operations,User_178,2024-10-19,1.5,2027-10-19,546,Active,2026-01-19,174.3,1,0.67,0,Apple,Taichung,Compliant,iPadOS 18,0.06090028,0.2380952380952381,0.022333333333333334,0,0.08,Low
ASSET_0059,Server,In Use,Operations,,2021-02-17,5.2,2025-02-17,-428,Expired,2024-11-17,7600.0,8,1.54,1,HP,Cloud,Non-Compliant,RHEL 9,0.9548927,0.8253968253968255,0.051333333333333335,1,0.76,High
ASSET_0060,Tablet,In Use,Sales,User_237,2024-04-22,2.0,2026-04-22,1,Active,2026-02-22,45.32,1,0.5,0,Apple,Hsinchu,Compliant,iPadOS 18,0.076140195,0.31746031746031744,0.016666666666666666,0,0.1,Low
ASSET_0061,Laptop,In Use,Sales,User_340,2021-08-29,4.6,2024-08-29,-600,Expired,,161.88,2,0.43,0,Apple,Taipei,At Risk,macOS 14,0.66309416,0.7301587301587301,0.014333333333333333,1,0.61,Medium
ASSET_0062,Server,Stock,R&D,User_082,2020-01-09,6.3,2024-01-09,-833,Expired,2022-04-09,4800.32,9,1.43,1,Cisco,Hsinchu,Non-Compliant,Windows Server 2022,0.9824868,1.0,0.04766666666666666,1,0.8,High
ASSET_0063,Laptop,In Use,Sales,User_327,2021-04-11,5.0,2024-04-11,-740,Expired,,1058.68,6,1.2,1,Apple,Taichung,Non-Compliant,macOS 14,0.87202984,0.7936507936507937,0.04,1,0.72,High
ASSET_0064,Tablet,In Use,IT,User_136,2023-08-08,2.7,2026-08-08,109,Active,2024-12-08,308.58,1,0.37,0,Apple,Taichung,At Risk,Win 11,0.12666193,0.4285714285714286,0.012333333333333333,0,0.14,Low
ASSET_0065,Laptop,In Use,HR,User_062,2023-02-02,3.2,2026-02-02,-78,Expired,2024-03-02,799.8,3,0.94,0,Dell,Taipei,At Risk,Windows 10,0.5507838,0.507936507936508,0.03133333333333333,1,0.53,Medium
ASSET_0066,Server,In Use,Finance,,2021-12-27,4.3,2025-12-27,-115,Expired,2025-01-27,3147.99,5,1.16,1,Cisco,Taipei,Non-Compliant,RHEL 9,0.96367127,0.6825396825396826,0.03866666666666666,1,0.73,High
ASSET_0067,Laptop,In Use,HR,User_068,2025-05-22,0.9,2028-05-22,762,Active,,117.1,1,1.11,0,Apple,Taipei,Compliant,macOS 14,0.19758938,0.14285714285714288,0.037000000000000005,0,0.12,Low
ASSET_0068,Laptop,In Use,R&D,User_286,2024-12-20,1.3,2027-12-20,608,Active,,139.79,2,1.54,0,Apple,Hsinchu,Compliant,macOS 15,0.171454,0.20634920634920637,0.051333333333333335,0,0.12,Low
ASSET_0069,Tablet,In Use,HR,User_080,2025-06-17,0.8,2027-06-17,422,Active,2026-08-17,56.08,1,1.25,0,Apple,Other,Compliant,iPadOS 18,0.12204527,0.126984126984127,0.041666666666666664,0,0.08,Low
ASSET_0070,Laptop,In Use,HR,User_062,2023-09-20,2.6,2026-09-20,152,Active,2024-11-20,370.61,5,1.92,0,Apple,Other,At Risk,macOS 15,0.47938398,0.41269841269841273,0.064,0,0.29,Low
ASSET_0071,Desktop,In Use,Finance,User_002,2021-01-02,5.3,2024-01-02,-840,Expired,2022-12-02,811.32,5,0.94,0,HP,Other,Non-Compliant,Windows 11,0.851432,0.8412698412698413,0.03133333333333333,1,0.72,High
ASSET_0072,Desktop,In Use,Finance,User_044,2022-03-18,4.1,2025-03-18,-399,Expired,2023-03-18,567.21,1,0.24,0,HP,Other,Non-Compliant,Windows 11,0.67823374,0.6507936507936507,0.008,1,0.6,Medium
ASSET_0073,Desktop,Stock,IT,User_379,2024-12-30,1.3,2028-06-30,801,Active,2026-03-30,133.68,1,0.77,0,Dell,Other,Compliant,Windows 11,0.11174603,0.20634920634920637,0.025666666666666667,0,0.09,Low
ASSET_0074,Laptop,In Use,Sales,User_387,2021-08-14,4.7,2024-08-14,-615,Expired,,272.45,2,0.43,0,Apple,Taipei,At Risk,macOS 14,0.66309416,0.746031746031746,0.014333333333333333,1,0.62,Medium
ASSET_0075,Laptop,In Use,Operations,User_178,2025-06-16,0.8,2028-06-16,787,Active,2026-08-16,214.72,1,1.25,0,HP,Taichung,Compliant,Windows 11,0.21673977,0.126984126984127,0.041666666666666664,0,0.12,Low
ASSET_0076,Desktop,In Use,Finance,User_391,2024-06-20,1.8,2027-06-20,425,Active,2026-04-20,399.36,0,0.0,0,Lenovo,Taipei,Compliant,Windows 10,0.092872486,0.28571428571428575,0.0,0,0.09,Low
ASSET_0077,Laptop,In Use,Sales,User_258,2020-05-01,6.0,2023-05-01,-1086,Expired,2021-12-01,344.22,5,0.83,0,Lenovo,Taichung,Non-Compliant,Windows 11,0.8529068,0.9523809523809524,0.027666666666666666,1,0.74,High
ASSET_0078,Desktop,In Use,IT,User_242,2021-05-05,5.0,2025-05-05,-351,Expired,,1694.32,4,0.8,1,Dell,Taichung,Non-Compliant,Windows 11,0.86157805,0.7936507936507937,0.02666666666666667,1,0.71,High
ASSET_0079,Laptop,In Use,HR,User_159,2025-03-15,1.1,2028-03-15,694,Active,2026-11-15,192.78,2,1.82,0,Apple,Taipei,Compliant,macOS 14,0.18880546,0.17460317460317462,0.06066666666666667,0,0.12,Low
ASSET_0080,Monitor,Stock,Operations,,2023-01-18,3.3,2026-01-18,-93,Expired,,184.8,2,0.61,0,Dell,Taichung,Compliant,Not Applicable,0.12436728,0.5238095238095238,0.02033333333333333,1,0.36,Low
ASSET_0081,Desktop,In Use,Operations,User_060,2021-01-11,5.3,2024-01-11,-831,Expired,2022-06-11,1099.98,6,1.13,1,HP,Hsinchu,Non-Compliant,Windows 10,0.8819914,0.8412698412698413,0.03766666666666666,1,0.73,High
ASSET_0082,Laptop,In Use,HR,User_053,2023-02-07,3.2,2027-02-07,292,Active,2025-03-07,375.55,5,1.56,0,Dell,Taipei,At Risk,Windows 11,0.55291706,0.507936507936508,0.052000000000000005,0,0.33,Low
ASSET_0083,Laptop,In Use,Operations,User_158,2022-09-16,3.6,2025-09-16,-217,Expired,2024-05-16,242.74,2,0.56,0,HP,Taichung,Non-Compliant,Windows 11,0.47059426,0.5714285714285715,0.018666666666666668,1,0.51,Medium
ASSET_0084,Laptop,In Use,Sales,User_359,2023-08-29,2.6,2026-08-29,130,Active,2025-05-29,477.76,0,0.0,0,Lenovo,Other,At Risk,Windows 11,0.20627819,0.41269841269841273,0.0,0,0.17,Low
ASSET_0085,Desktop,In Use,Operations,User_065,2020-04-21,6.0,2023-04-21,-1096,Expired,2021-04-21,2450.32,12,2.0,1,Apple,Taichung,Non-Compliant,macOS 15,0.95077854,0.9523809523809524,0.06666666666666667,1,0.78,High
ASSET_0086,Tablet,In Use,HR,User_067,2021-01-21,5.2,2023-01-21,-1186,Expired,2023-01-21,624.11,3,0.58,0,Dell,Taipei,Non-Compliant,Android 14,0.27802545,0.8253968253968255,0.01933333333333333,1,0.48,Medium
ASSET_0087,Monitor,In Use,R&D,User_183,2023-04-06,3.0,2026-10-06,168,Active,,120.79,3,1.0,0,HP,Taipei,Compliant,Not Applicable,0.1016456,0.4761904761904762,0.03333333333333333,0,0.14,Low
ASSET_0088,Tablet,In Use,HR,User_080,2024-06-22,1.8,2026-06-22,62,Active,2025-12-22,124.74,0,0.0,0,Lenovo,Taipei,Compliant,Android 14,0.062001087,0.28571428571428575,0.0,0,0.08,Low
ASSET_0089,Laptop,In Use,HR,User_059,2023-10-05,2.5,2026-10-05,167,Active,2025-09-05,267.85,1,0.4,0,HP,Taichung,At Risk,Windows 10,0.26844332,0.39682539682539686,0.013333333333333334,0,0.19,Low
ASSET_0090,Tablet,In Use,Finance,User_004,2023-09-24,2.6,2025-09-24,-209,Expired,2024-10-24,455.7,2,0.77,0,Apple,Hsinchu,At Risk,Win 11,0.18870242,0.41269841269841273,0.025666666666666667,1,0.36,Low
ASSET_0091,Server,In Use,R&D,User_260,2021-07-06,4.8,2026-01-06,-105,Expired,2025-02-06,7600.0,3,0.62,1,Lenovo,Hsinchu,Non-Compliant,Windows Server 2022,0.9382518,0.7619047619047619,0.020666666666666667,1,0.73,High
ASSET_0092,Tablet,In Use,Sales,User_229,2025-11-21,0.4,2027-11-21,579,Active,2027-04-21,118.28,1,2.5,0,Lenovo,Taipei,Compliant,iPadOS 18,0.06616256,0.0634920634920635,0.08333333333333333,0,0.06,Low
ASSET_0093,Laptop,In Use,R&D,User_258,2023-06-13,2.9,2026-06-13,53,Active,2024-09-13,502.49,4,1.38,0,Lenovo,Taipei,At Risk,Windows 11,0.33494443,0.4603174603174603,0.046,0,0.24,Low
ASSET_0094,Tablet,In Use,Finance,User_338,2024-01-23,2.2,2027-01-23,277,Active,2025-09-23,618.67,2,0.91,0,Apple,Taichung,At Risk,iPadOS 18,0.07295869,0.34920634920634924,0.030333333333333334,0,0.11,Low
ASSET_0095,Tablet,In Use,Sales,User_343,2025-07-13,0.8,2027-07-13,448,Active,2027-03-13,133.62,1,1.25,0,Apple,Hsinchu,Compliant,Android 14,0.1083974,0.126984126984127,0.041666666666666664,0,0.08,Low
ASSET_0096,Tablet,In Use,Sales,User_252,2021-04-18,5.0,2023-10-18,-916,Expired,2023-04-18,276.97,5,1.0,0,Lenovo,Other,Non-Compliant,iPadOS 18,0.68678075,0.7936507936507937,0.03333333333333333,1,0.64,Medium
ASSET_0097,Server,In Use,IT,User_109,2023-11-01,2.5,2028-05-01,741,Active,2025-03-01,651.33,1,0.4,0,Lenovo,Cloud,At Risk,Windows Server 2022,0.7432966,0.39682539682539686,0.013333333333333334,0,0.38,Low
ASSET_0098,Laptop,In Use,Operations,User_044,2025-10-22,0.5,2028-10-22,915,Active,2027-05-22,1885.89,1,2.0,1,Apple,Taichung,Compliant,macOS 13,0.3306746,0.07936507936507936,0.06666666666666667,0,0.16,Low
ASSET_0099,Laptop,In Use,Operations,User_163,2023-10-02,2.6,2026-10-02,164,Active,2025-06-02,899.27,6,2.31,1,Lenovo,Taichung,Non-Compliant,Ubuntu 22.04,0.6697988,0.41269841269841273,0.077,0,0.37,Low
ASSET_0100,Server,Retired,Operations,,2026-01-15,0.3,2030-01-15,1365,Active,2029-08-15,535.4,1,3.33,0,Lenovo,Hsinchu,Compliant,RHEL 9,0.039366316,0.047619047619047616,0.111,0,0.05,Low
ASSET_0101,Desktop,Stock,Operations,User_190,2025-01-05,1.3,2028-01-05,624,Active,2026-01-05,124.74,0,0.0,0,HP,Taichung,Compliant,Ubuntu 22.04,0.07948169,0.20634920634920637,0.0,0,0.07,Low
ASSET_0102,Desktop,In Use,Finance,User_105,2022-12-15,3.3,2025-12-15,-127,Expired,2023-12-15,874.71,3,0.91,0,Dell,Taipei,Non-Compliant,Windows 11,0.49245128,0.5238095238095238,0.030333333333333334,1,0.51,Medium
ASSET_0103,Monitor,In Use,IT,User_122,2024-08-13,1.7,2028-08-13,845,Active,,129.68,2,1.18,0,Dell,Hsinchu,At Risk,Not Applicable,0.05665576,0.2698412698412698,0.03933333333333333,0,0.08,Low
ASSET_0104,Server,Retired,Sales,,2023-03-28,3.1,2027-03-28,341,Active,2024-12-28,3000.79,7,2.26,1,Cisco,Taipei,Non-Compliant,VMware ESXi,0.9461737,0.4920634920634921,0.07533333333333332,0,0.49,Medium
ASSET_0105,Tablet,In Use,IT,User_111,2022-02-03,4.2,2024-02-03,-808,Expired,2024-11-03,519.59,5,1.19,0,Apple,Taichung,Non-Compliant,Android 14,0.570962,0.6666666666666667,0.03966666666666666,1,0.57,Medium
ASSET_0106,Laptop,Stock,Operations,User_177,2021-01-06,5.3,2024-01-06,-836,Expired,2022-11-06,2481.55,8,1.51,1,Lenovo,Taichung,Non-Compliant,Windows 10,0.9111468,0.8412698412698413,0.050333333333333334,1,0.74,High
ASSET_0107,Laptop,In Use,Finance,User_021,2023-12-26,2.3,2026-12-26,249,Active,2025-02-26,162.94,4,1.74,0,Lenovo,Hsinchu,Compliant,Windows 11,0.20669772,0.36507936507936506,0.058,0,0.17,Low
ASSET_0108,Laptop,In Use,Finance,User_359,2024-08-17,1.7,2027-08-17,483,Active,2026-06-17,206.14,1,0.59,0,Lenovo,Taipei,Compliant,Windows 11,0.12267134,0.2698412698412698,0.019666666666666666,0,0.11,Low
ASSET_0109,Laptop,In Use,Finance,User_013,2021-03-27,5.1,2024-09-27,-571,Expired,2022-08-27,2541.14,4,0.78,1,Lenovo,Taipei,Non-Compliant,Windows 11,0.8449661,0.8095238095238095,0.026000000000000002,1,0.71,High
ASSET_0110,Monitor,Stock,Operations,User_173,2024-02-09,2.2,2027-02-09,294,Active,,56.77,3,1.36,0,HP,Taichung,Compliant,Not Applicable,0.05831568,0.34920634920634924,0.04533333333333334,0,0.1,Low
ASSET_0111,Desktop,In Use,Finance,User_280,2021-07-19,4.8,2024-07-19,-641,Expired,2022-08-19,626.79,3,0.62,0,Lenovo,Hsinchu,Non-Compliant,Windows 10,0.6357739,0.7619047619047619,0.020666666666666667,1,0.61,Medium
ASSET_0112,Server,In Use,IT,,2022-01-07,4.3,2026-01-07,-104,Expired,2023-04-07,5202.59,4,0.93,1,Dell,Cloud,Non-Compliant,Windows Server 2022,0.9617581,0.6825396825396826,0.031000000000000003,1,0.73,High
ASSET_0113,Desktop,In Use,IT,User_136,2025-02-10,1.2,2028-02-10,660,Active,2026-09-10,261.29,1,0.83,0,Lenovo,Taipei,Compliant,Windows 11,0.123024836,0.19047619047619047,0.027666666666666666,0,0.09,Low
