Asset_ID,Asset_Type,Assigned_To,Department,Acquisition_Date,Warranty_Expiry_Date,Status,Maintenance_Cost,License_Expiry_Date,Vendor_Name,Location,Compliance_Status,OS_Version,Repair_Count
ASSET_0100,Server,User_226,Operations,2026-01-15,2031-01-13,In Use,1561.22,2028-02-13,Lenovo,Hsinchu,Compliant,RHEL 9,1
ASSET_0101,Desktop,User_190,Operations,2025-01-05,2029-03-24,In Use,369.67,2027-01-01,HP,Taichung,Compliant,Win 11,1
ASSET_0102,Desktop,,Finance,2022-12-15,2024-12-24,Retired,407.89,,Dell,Taipei,At Risk,macOS 13,2
ASSET_0103,Monitor,User_122,IT,2024-08-13,2027-10-21,In Use,114.15,,Dell,Hsinchu,Compliant,,0
ASSET_0104,Server,,Sales,2023-03-28,2028-03-21,Decommissioned,,,Cisco,Taipei,At Risk,RHEL 9,2
ASSET_0105,Tablet,User_124,IT,2022-02-03,2023-04-12,In Use,,2023-04-02,Apple,Taichung,Non-Compliant,Win 10,6
ASSET_0106,Laptop,,Operations,2021-01-06,2024-02-26,Retired,,,Lenovo,Taichung,Non-Compliant,Win 10,2
ASSET_0107,Laptop,User_021,Finance,2023-12-26,2026-01-30,In Use,,2027-01-02,Lenovo,Hsinchu,Compliant,macOS 12,2
ASSET_0108,Laptop,,Finance,2024-08-17,2027-10-03,Retired,1008.3,,Lenovo,Taipei,At Risk,macOS 14,3
ASSET_0109,Laptop,User_013,Finance,2021-03-27,2023-03-27,In Use,,2022-03-20,Lenovo,Taipei,Non-Compliant,macOS 13,1
ASSET_0110,Monitor,User_173,Operations,2024-02-09,2027-04-09,In Use,234.24,,HP,Taichung,Compliant,,3
ASSET_0111,Desktop,,Finance,2021-07-19,2024-08-07,Retired,709.64,,Lenovo,Hsinchu,Non-Compliant,macOS 13,3
ASSET_0112,Server,User_098,IT,2022-01-07,2026-12-23,In Use,2462.24,2024-01-04,Dell,Cloud,At Risk,RHEL 9,2
ASSET_0113,Desktop,User_136,IT,2025-02-10,2028-02-09,In Use,521.78,2026-03-03,Lenovo,Taipei,At Risk,Win 10,1
ASSET_0114,Monitor,,Operations,2021-02-25,2024-03-22,Retired,182.86,,Dell,Taichung,At Risk,,2
ASSET_0115,Monitor,,R&D,2025-04-12,2027-06-25,Stock,,,Dell,Hsinchu,Compliant,,1
ASSET_0116,Desktop,,Operations,2023-02-26,2027-01-29,Retired,,,Dell,Other,At Risk,macOS 13,1
ASSET_0117,Laptop,User_097,IT,2023-05-14,2025-06-22,In Use,717.83,2024-07-08,Lenovo,Hsinchu,At Risk,Win 11,2
ASSET_0118,Tablet,User_308,Sales,2025-03-19,2026-05-10,In Use,155.14,2026-03-28,Dell,Other,At Risk,Win 10,0
ASSET_0119,Server,User_092,IT,2024-07-04,2027-07-26,In Use,1305.71,2027-07-13,Dell,Cloud,Compliant,RHEL 9,0
ASSET_0120,Tablet,,Sales,2023-02-02,2024-01-21,Retired,,,Apple,Hsinchu,At Risk,Win 11,0
ASSET_0121,Laptop,User_056,HR,2023-07-07,2026-09-24,In Use,226.47,2026-06-24,Dell,Taipei,Compliant,Win 10,0
ASSET_0122,Laptop,User_212,Operations,2024-03-02,2026-04-29,In Use,432.77,2026-04-07,HP,Taichung,At Risk,macOS 13,1
ASSET_0123,Desktop,,Finance,2024-03-31,2026-06-02,Stock,549.26,2025-04-11,HP,Taipei,At Risk,Win 10,3
ASSET_0124,Desktop,User_048,HR,2025-09-12,2029-08-22,In Use,363.06,2027-09-19,Dell,Other,Compliant,macOS 12,1
ASSET_0125,Server,User_146,IT,2022-07-15,2027-08-16,In Use,1162.64,2023-07-07,Dell,Cloud,At Risk,Windows Server 2022,0
ASSET_0126,Laptop,,HR,2024-08-26,2027-11-03,Decommissioned,247.63,,Apple,Taipei,Compliant,macOS 13,0
ASSET_0127,Monitor,,R&D,2021-05-30,2023-07-17,Decommissioned,307.93,,HP,Hsinchu,Compliant,,2
ASSET_0128,Server,,R&D,2024-12-31,2030-01-18,Retired,3802.35,,Dell,Cloud,At Risk,Ubuntu 22.04,3
ASSET_0129,Monitor,User_059,HR,2025-05-30,2027-08-02,In Use,,,HP,Other,Compliant,,1
ASSET_0130,Desktop,,HR,2021-09-16,2024-09-22,Retired,387.38,,Apple,Taipei,Non-Compliant,Win 10,1
ASSET_0131,Tablet,User_317,Sales,2025-11-17,2026-10-24,In Use,149.11,2027-12-10,Dell,Taipei,Compliant,Win 11,0
ASSET_0132,Laptop,,R&D,2026-04-05,2028-04-13,Stock,,2028-04-26,Apple,Taipei,Compliant,Win 11,0
ASSET_0133,Laptop,,Operations,2024-03-30,2026-03-28,Stock,554.0,2026-03-29,Lenovo,Hsinchu,At Risk,macOS 14,2
ASSET_0134,Laptop,User_069,HR,2025-09-21,2028-10-16,In Use,285.49,2028-09-25,Apple,Taipei,Compliant,Win 11,0
ASSET_0135,Monitor,User_186,Operations,2023-10-26,2025-12-09,In Use,141.41,,HP,Taichung,Compliant,,1
ASSET_0136,Tablet,,HR,2024-08-28,2026-11-06,Stock,,2025-09-28,Dell,Taipei,At Risk,Win 11,0
ASSET_0137,Laptop,,Sales,2024-06-07,2027-06-04,Decommissioned,837.24,,Apple,Taichung,Compliant,macOS 13,2
ASSET_0138,Server,User_067,HR,2023-06-13,2027-06-30,In Use,854.27,2024-05-24,Cisco,Taipei,At Risk,Windows Server 2022,0
ASSET_0139,Desktop,,IT,2025-09-16,2027-09-26,Stock,,2026-10-06,Dell,Cloud,Compliant,Win 11,0
ASSET_0140,Server,User_101,IT,2023-05-21,2028-06-30,In Use,3468.99,2026-05-10,HP,Taichung,Compliant,Windows Server 2022,3
ASSET_0141,Server,,HR,2021-10-02,2025-11-21,Retired,798.19,,Lenovo,Taipei,At Risk,RHEL 9,0
ASSET_0142,Desktop,,Finance,2024-07-25,2028-10-01,Stock,,2026-07-07,Dell,Taipei,Compliant,macOS 14,0
ASSET_0143,Desktop,User_109,IT,2022-10-04,2026-12-18,In Use,214.06,2023-11-07,Dell,Taichung,At Risk,Win 10,0
ASSET_0144,Tablet,User_076,HR,2021-07-11,2022-09-03,In Use,208.9,2023-09-04,Lenovo,Taipei,Non-Compliant,Win 10,1
ASSET_0145,Server,User_149,IT,2025-09-23,2028-11-29,In Use,2192.54,2027-10-19,HP,Taichung,Compliant,Ubuntu 22.04,2
ASSET_0146,Tablet,,Operations,2024-03-06,2025-04-19,Stock,,2026-05-05,Apple,Taichung,Compliant,Win 10,0
ASSET_0147,Laptop,User_186,Operations,2021-04-13,2024-06-06,In Use,1474.07,2023-04-17,Lenovo,Taichung,At Risk,macOS 12,6
ASSET_0148,Monitor,,Finance,2025-10-22,2028-01-06,Stock,,,HP,Hsinchu,Compliant,,0
ASSET_0149,Laptop,User_138,IT,2023-10-16,2025-10-15,In Use,602.23,2025-10-17,Lenovo,Hsinchu,At Risk,Win 11,1
ASSET_0150,Desktop,,Operations,2022-01-01,2024-01-01,Decommissioned,740.68,,HP,Taichung,Compliant,Win 10,3
ASSET_0151,Desktop,User_208,Operations,2023-04-07,2027-05-28,In Use,195.76,2025-04-10,Apple,Taichung,At Risk,Win 11,0
ASSET_0152,Server,User_015,Finance,2023-04-11,2026-06-01,In Use,4352.2,2025-04-02,HP,Taipei,Non-Compliant,Windows Server 2022,5
ASSET_0153,Desktop,User_021,Finance,2023-11-22,2025-10-28,In Use,433.69,2026-01-05,HP,Taichung,At Risk,Win 11,2
ASSET_0154,Monitor,User_032,Finance,2021-05-20,2024-08-13,In Use,254.6,,HP,Taipei,At Risk,,3
ASSET_0155,Monitor,,Finance,2021-05-03,2023-07-18,Decommissioned,,,Dell,Hsinchu,Compliant,,1
ASSET_0156,Monitor,User_074,HR,2023-08-22,2026-10-17,In Use,106.76,,Dell,Taipei,Compliant,,0
ASSET_0157,Server,User_022,Finance,2025-11-02,2030-10-24,In Use,1726.14,2027-12-27,HP,Cloud,Compliant,Windows Server 2022,1
ASSET_0158,Tablet,User_058,HR,2023-06-22,2024-09-15,In Use,100.58,2025-07-22,Lenovo,Taipei,Non-Compliant,Win 10,0
ASSET_0159,Laptop,User_218,Operations,2025-05-15,2028-07-14,In Use,338.69,2026-06-29,Apple,Hsinchu,Compliant,Win 11,0
ASSET_0160,Monitor,User_005,Finance,2024-04-02,2027-05-19,In Use,183.82,,Dell,Other,Compliant,,1
ASSET_0161,Laptop,,R&D,2022-07-15,2025-10-06,Retired,1050.19,,Lenovo,Other,At Risk,macOS 14,3
ASSET_0162,Desktop,User_031,Finance,2023-07-20,2025-08-01,In Use,566.07,2025-08-08,Apple,Taichung,At Risk,macOS 14,3
ASSET_0163,Desktop,User_019,Finance,2023-04-20,2026-03-22,In Use,556.45,2026-05-18,Lenovo,Taipei,Compliant,macOS 13,3
ASSET_0164,Desktop,,IT,2021-12-16,2023-11-30,Retired,406.62,,Lenovo,Hsinchu,Non-Compliant,Win 10,1
ASSET_0165,Desktop,User_057,HR,2023-08-28,2025-10-31,In Use,186.04,2025-10-03,HP,Other,At Risk,macOS 12,0
ASSET_0166,Laptop,,Finance,2023-06-10,2026-06-29,Retired,1977.8,,Apple,Other,At Risk,macOS 12,8
ASSET_0167,Tablet,User_187,Operations,2026-03-11,2028-04-27,In Use,241.8,2027-05-02,Apple,Taichung,Compliant,Win 10,1
ASSET_0168,Laptop,User_209,Operations,2021-10-25,2023-10-25,In Use,571.03,2022-12-17,Lenovo,Hsinchu,Non-Compliant,Win 10,1
ASSET_0169,Tablet,User_304,Sales,2023-04-30,2025-07-01,In Use,139.33,2025-06-26,Apple,Taipei,At Risk,Win 10,0
ASSET_0170,Laptop,User_073,HR,2023-08-06,2025-08-03,In Use,263.48,2025-08-06,Apple,Taipei,At Risk,macOS 13,0
ASSET_0171,Monitor,User_301,Sales,2021-05-06,2023-04-12,In Use,254.44,,Dell,Taipei,At Risk,,3
ASSET_0172,Laptop,User_027,Finance,2025-05-22,2027-06-18,In Use,373.5,2028-05-05,HP,Taipei,Compliant,macOS 12,1
ASSET_0173,Laptop,User_322,Sales,2026-03-27,2029-05-26,In Use,314.89,2029-03-09,Lenovo,Other,Compliant,macOS 14,0
ASSET_0174,Desktop,,IT,2022-05-12,2026-07-14,Decommissioned,503.82,,Lenovo,Taipei,Compliant,Win 11,2
ASSET_0175,Laptop,,R&D,2023-04-03,2025-04-10,Retired,1003.18,,Apple,Taipei,Non-Compliant,macOS 14,3
ASSET_0176,Laptop,User_338,Sales,2025-09-19,2027-09-18,In Use,368.34,2026-10-27,Apple,Taipei,Compliant,macOS 14,0
ASSET_0177,Laptop,User_321,Sales,2024-10-14,2027-11-05,In Use,366.57,2026-12-01,Dell,Taipei,Compliant,macOS 13,0
ASSET_0178,Laptop,,HR,2020-09-30,2022-09-20,Retired,1169.45,,Dell,Hsinchu,Non-Compliant,macOS 14,4
ASSET_0179,Tablet,User_057,HR,2023-12-20,2025-02-21,In Use,170.45,2027-01-29,Lenovo,Taipei,At Risk,Win 11,1
ASSET_0180,Laptop,User_051,HR,2023-07-04,2025-09-19,In Use,473.52,2025-08-28,Apple,Taipei,At Risk,macOS 13,1
ASSET_0181,Laptop,,R&D,2023-07-16,2025-10-01,Decommissioned,694.28,,Apple,Taipei,Compliant,Win 10,2
ASSET_0182,Desktop,,Finance,2025-12-24,2029-02-13,Stock,,2028-01-27,Dell,Taipei,Compliant,macOS 14,0
ASSET_0183,Desktop,User_007,Finance,2024-01-30,2026-01-30,In Use,236.91,2025-02-21,Lenovo,Taipei,At Risk,Win 10,0
ASSET_0184,Laptop,User_218,Operations,2025-01-12,2028-02-06,In Use,775.2,2026-01-11,Lenovo,Taichung,At Risk,Win 10,2
ASSET_0185,Tablet,User_027,Finance,2025-06-10,2027-07-12,In Use,162.73,2026-07-12,Lenovo,Taichung,Compliant,Win 10,1
ASSET_0186,Server,User_222,Operations,2022-05-29,2026-06-27,In Use,,2024-05-09,HP,Cloud,At Risk,Ubuntu 22.04,2
ASSET_0187,Laptop,,R&D,2024-03-28,2027-05-04,Retired,,,Lenovo,Hsinchu,At Risk,Win 10,3
ASSET_0188,Desktop,,Finance,2023-01-13,2025-03-12,Retired,,,Lenovo,Taipei,Non-Compliant,macOS 12,2
ASSET_0189,Tablet,,HR,2020-10-17,2022-11-29,Decommissioned,,,Dell,Other,Compliant,Win 10,1
ASSET_0190,Server,,Finance,2025-04-17,2028-07-09,Stock,1871.8,2026-04-07,Dell,Other,At Risk,RHEL 9,1
ASSET_0191,Monitor,User_087,IT,2024-12-24,2026-12-22,In Use,121.8,,Apple,Taipei,Compliant,,0
ASSET_0192,Monitor,,IT,2022-11-12,2024-12-19,Retired,,,Apple,Hsinchu,Non-Compliant,,2
ASSET_0193,Laptop,User_207,Operations,2021-08-03,2023-10-04,In Use,517.05,2023-07-14,Dell,Taichung,Non-Compliant,macOS 12,1
ASSET_0194,Laptop,,R&D,2024-09-21,2027-10-17,Stock,613.56,2027-09-25,Apple,Other,Compliant,Win 10,1
ASSET_0195,Desktop,User_006,Finance,2025-10-04,2027-10-07,In Use,403.01,2028-11-07,Apple,Taipei,Compliant,Win 10,1
ASSET_0196,Tablet,User_230,Operations,2021-04-29,2022-06-15,In Use,231.69,2023-06-14,Lenovo,Taipei,Non-Compliant,Win 10,1
ASSET_0197,Laptop,User_180,Operations,2023-01-28,2026-01-17,In Use,730.53,2025-03-20,HP,Other,At Risk,Win 11,3
ASSET_0198,Tablet,User_328,Sales,2026-03-18,2027-05-02,In Use,204.35,2028-04-20,Dell,Other,Compliant,Win 11,1
ASSET_0199,Monitor,,HR,2025-01-19,2028-03-25,Stock,241.03,,Lenovo,Other,Compliant,,3
ASSET_0200,Laptop,User_328,Sales,2024-03-12,2026-03-27,In Use,769.77,2027-03-01,Dell,Other,Compliant,Win 11,3
ASSET_0201,Laptop,User_334,Sales,2021-08-03,2023-09-19,In Use,886.75,2023-09-16,Lenovo,Other,Non-Compliant,macOS 14,3
